Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
Jarvis Hayes,Georgia,2003,8,SF,84,31.4,0.457,0.502,0.369,0.772,18.0,5.2,0.546,0.519,0.339,0.209,6.0,0.57,0.305
Nick Collison,Kansas,2003,9,C,142,27.4,0.562,0.571,0.359,0.624,14.8,9.68,0.583,0.57,0.042,0.376,11.0,0.0,0.0
Marcus Banks,UNLV,2003,10,PG,63,34.3,0.495,0.551,0.33,0.731,18.1,4.77,0.585,0.537,0.256,0.555,6.4,0.33,0.314
Luke Ridnour,Oregon,2003,11,PG,96,33.6,0.429,0.472,0.389,0.859,14.6,6.98,0.588,0.53,0.519,0.387,7.8,0.39,0.338
Reece Gaines,Louisville,2003,12,PG,125,31.6,0.452,0.502,0.383,0.75,15.6,7.91,0.577,0.533,0.421,0.435,10.6,0.08,0.3
Troy Bell,Boston College,2003,13,PG,122,35.7,0.424,0.467,0.372,0.868,21.6,5.85,0.588,0.508,0.45,0.52,15.3,0.0,0.0
David West,Xavier,2003,14,PF,126,33.4,0.531,0.54,0.327,0.757,16.9,4.18,0.598,0.538,0.04,0.64,13.7,0.0,0.0
Dahntay Jones,Duke,2003,15,SG,131,29.8,0.452,0.484,0.344,0.745,13.8,7.31,0.539,0.491,0.225,0.41,7.0,0.05,0.25
Brian Cook,Illinois,2003,16,C,132,25.7,0.51,0.558,0.339,0.793,13.2,9.42,0.592,0.547,0.222,0.388,10.6,0.0,0.0
Josh Howard,Wake Forest,2003,17,SF,127,27.8,0.483,0.522,0.353,0.708,13.9,9.17,0.558,0.524,0.231,0.383,8.1,0.3,0.303
Jason Kapono,UCLA,2003,18,SF,127,34.0,0.469,0.489,0.446,0.83,16.5,10.67,0.613,0.575,0.476,0.307,13.7,0.51,0.477
Luke Walton,Arizona,2003,19,SF,129,27.2,0.426,0.47,0.284,0.685,9.1,10.92,0.502,0.459,0.232,0.406,2.7,0.18,0.333
Travis Hansen,BYU,2003,20,SG,86,27.4,0.434,0.455,0.369,0.774,13.2,4.7,0.544,0.479,0.244,0.504,4.9,0.22,0.3
Steve Blake,Maryland,2003,21,PG,138,31.3,0.401,0.423,0.381,0.771,8.3,9.34,0.537,0.499,0.513,0.291,5.0,1.0,0.371
Willie Green,Detroit,2003,22,SG,124,30.0,0.461,0.495,0.352,0.757,14.3,0.88,0.544,0.503,0.242,0.339,7.8,0.36,0.311
Keith Bogans,Kentucky,2003,23,SG,135,29.0,0.437,0.527,0.342,0.688,14.2,11.27,0.546,0.52,0.484,0.309,8.2,0.92,0.358
Matt Bonner,Florida,2003,24,PF,131,25.0,0.503,0.564,0.395,0.74,12.0,8.03,0.599,0.574,0.362,0.287,9.6,0.48,0.424
Mo Williams,Alabama,2003,25,PG,64,33.7,0.405,0.492,0.294,0.847,13.1,8.53,0.524,0.47,0.438,0.308,3.0,0.18,0.256
Kyle Korver,Creighton,2003,26,SG,128,27.7,0.492,0.515,0.453,0.891,14.1,1.76,0.667,0.629,0.692,0.296,15.6,1.09,0.391
Emeka Okafor,UConn,2004,1,PF,103,31.8,0.59,0.59,0.0,0.564,13.8,7.61,0.591,0.59,0.0,0.449,8.2,0.0,0.0
Ben Gordon,UConn,2004,2,SG,106,31.0,0.44,0.452,0.423,0.795,16.9,7.61,0.574,0.531,0.433,0.346,9.6,1.63,0.405
